| **Gene**                  | **Studies**<br />(PD brain TWAS) |
| ------------------------- | -------------------------------- |
| **ADORA2B**               | 4                                |
| **ARHGAP27**              | 4                                |
| **CCDC62**                | 4                                |
| **CD38**                  | 1, 2, 4                          |
| **CDKL2**                 | 4                                |
| **CENPV**                 | 1                                |
| **CLASP2**                | 3                                |
| **CPLX1**                 | 1, 3                             |
| **CRHR1**                 | 4                                |
| **CR936218.1** *(lncRNA)* | 4                                |
| **CR936218.2** *(lncRNA)* | 4                                |
| **CTSB**                  | 2, 3                             |
| **DGKQ**                  | 4                                |
| **EFNA3**                 | 4                                |
| **EIF3CL**                | 5                                |
| **FAM189B**               | 4                                |
| **FAM200B**               | 4                                |
| **FBXL19**                | 4                                |
| **GALC**                  | 2                                |
| **GAK**                   | 1                                |
| **GBA**                   | 4                                |
| **GPNMB**                 | 1, 2, 4                          |
| **HLA-DQB1**              | 4                                |
| **IGSF9B**                | 4                                |
| **KANSL1-AS1** *(lncRNA)* | 4, 5                             |
| **KLHL7-DT** *(lncRNA)*   | 4                                |
| **LRRC37A2**              | 1                                |
| **LRRC37A4P**             | 5                                |
| **MAP3K14**               | 1                                |
| **MAPT-IT1** *(lncRNA)*   | 4                                |
| **MAPT-AS1** *(lncRNA)*   | 4                                |
| **MCCC1-AS1** *(lncRNA)*  | 4                                |
| **MMRN1**                 | 1                                |
| **MTOR**                  | 3                                |
| **NEK1**                  | 2                                |
| **NDUFAF2**               | 4                                |
| **NUPL2**                 | 2                                |
| **NUDT14**                | 3                                |
| **PCGF3**                 | 2                                |
| **RAB29**                 | 2, 4                             |
| **RANGAP1**               | 5                                |
| **RNF40**                 | 1                                |
| **SH2B1**                 | 5                                |
| **SNCA**                  | 3                                |
| **SNCA-AS1** *(lncRNA)*   | 4                                |
| **STK39**                 | 4                                |
| **TMEM163**               | 2                                |
| **TMEM175**               | 3, 4                             |
| **TRIM10**                | 5                                |
| **TTC19**                 | 4                                |
| **VKORC1**                | 1                                |
| **WDR6**                  | 2                                |
| **WNT3**                  | 4                                |
| **ZRANB3**                | 2                                |
| **ZSWIM7**                | 1                                |
